2023-11-12 23:02:36,735 - INFO - Generate flow: Flow 0 from 172.16.200.3 to 172.16.200.10:50001 with size 9867 bytes
2023-11-12 23:02:36,735 - INFO - Generate flow: Flow 1 from 172.16.200.3 to 172.16.200.10:50001 with size 59860 bytes
2023-11-12 23:02:36,735 - INFO - Generate flow: Flow 2 from 172.16.200.3 to 172.16.200.10:50001 with size 857594 bytes
2023-11-12 23:02:36,735 - INFO - Generate flow: Flow 3 from 172.16.200.3 to 172.16.200.10:50001 with size 171634 bytes
2023-11-12 23:02:36,735 - INFO - Generate flow: Flow 4 from 172.16.200.3 to 172.16.200.10:50001 with size 20805 bytes
2023-11-12 23:02:36,735 - INFO - Generate flow: Flow 5 from 172.16.200.3 to 172.16.200.10:50001 with size 4542 bytes
2023-11-12 23:02:36,735 - INFO - Generate flow: Flow 6 from 172.16.200.3 to 172.16.200.10:50001 with size 12613703 bytes
2023-11-12 23:02:36,735 - INFO - Generate flow: Flow 7 from 172.16.200.3 to 172.16.200.10:50001 with size 443314 bytes
2023-11-12 23:02:36,735 - INFO - Generate flow: Flow 8 from 172.16.200.3 to 172.16.200.10:50001 with size 44310 bytes
2023-11-12 23:02:36,735 - INFO - Generate flow: Flow 9 from 172.16.200.3 to 172.16.200.10:50001 with size 1108465 bytes
2023-11-12 23:02:36,737 - DEBUG - [2836.109974966] thread 0 fork a flow : 0, 9867 bytes
2023-11-12 23:02:36,738 - DEBUG - [2836.111124545] thread 1 fork a flow : 1, 59860 bytes
2023-11-12 23:02:37,136 - DEBUG - [2836.509668074] thread 0 fork a flow : 2, 857594 bytes
2023-11-12 23:02:37,138 - DEBUG - [2836.510696398] thread 1 fork a flow : 3, 171634 bytes
2023-11-12 23:02:37,537 - DEBUG - [2836.909770566] thread 1 fork a flow : 5, 4542 bytes
2023-11-12 23:02:37,538 - DEBUG - [2836.910757458] thread 0 fork a flow : 4, 20805 bytes
2023-11-12 23:02:37,937 - DEBUG - [2837.309900719] thread 0 fork a flow : 6, 12613703 bytes
2023-11-12 23:02:37,943 - DEBUG - [2837.316192408] thread 1 fork a flow : 7, 443314 bytes
2023-11-12 23:02:38,337 - DEBUG - [2837.709721612] thread 0 fork a flow : 8, 44310 bytes
2023-11-12 23:02:38,338 - DEBUG - [2837.710868093] thread 1 fork a flow : 9, 1108465 bytes
